 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,472,472,472,393.250,285.250,2,400
2,0,561,561,561,394.000,288.750,2,401
3,0,460,460,460,394.000,289.250,2,402
4,0,504,504,504,394.750,291.000,2,403
5,0,466,466,466,397.250,294.000,2,404
6,0,462,462,462,395.250,295.000,2,405
7,0,470,470,470,393.250,294.500,2,406
8,0,478,478,478,395.250,294.500,2,407
9,0,396,396,396,388.500,297.500,2,408
10,0,449,449,449,389.000,295.250,2,409
11,0,481,481,481,389.000,292.750,2,410
12,0,506,506,506,387.000,294.250,2,411
13,0,470,470,470,388.000,295.500,2,412
14,0,443,443,443,386.250,295.500,2,413
15,0,394,394,394,387.000,296.250,2,414
16,0,408,408,408,387.250,297.000,2,415
17,0,374,374,374,385.250,302.250,2,416
18,0,401,401,401,383.750,300.000,2,417
19,0,352,352,352,383.750,299.250,2,418
20,0,526,526,526,395.000,285.750,2,399
21,0,586,586,586,397.250,288.500,2,398
22,0,516,516,516,399.750,288.750,2,397
23,0,485,485,485,401.250,290.500,2,396
24,0,401,401,401,402.750,295.000,2,395
25,0,431,431,431,402.500,293.000,2,394
26,0,406,406,406,403.250,295.000,2,393
27,0,380,380,380,402.250,294.000,2,392
28,0,436,436,436,399.000,293.500,2,391
29,0,385,385,385,400.000,298.750,2,390
30,0,422,422,422,400.000,300.750,2,389
31,0,467,467,467,399.250,301.250,2,388
32,0,461,461,461,401.000,301.000,2,387
33,0,425,425,425,403.000,298.000,2,386
34,0,367,367,367,399.000,299.250,2,385
35,0,385,385,385,399.250,302.250,2,384
36,0,373,373,373,398.250,296.500,2,383
37,0,373,373,373,393.500,292.250,2,382
38,0,428,428,428,392.750,289.500,2,381
39,0,462,462,462,395.000,288.000,2,380
40,0,368,368,368,395.000,288.250,2,379
41,0,378,378,378,394.250,289.250,2,378
42,0,343,343,343,395.000,292.000,2,377
43,0,410,410,410,394.500,291.000,2,376
44,0,346,346,346,393.750,289.750,2,375
45,0,333,333,333,392.750,290.000,2,374
46,0,410,410,410,391.250,291.000,2,373
47,0,356,356,356,391.250,291.750,2,372
48,0,437,437,437,391.000,292.500,2,371
49,0,338,338,338,392.000,290.250,2,370
50,0,267,267,267,391.250,289.250,2,369
51,0,241,241,241,393.250,289.750,2,368
52,0,321,321,321,392.250,290.250,2,367
53,0,335,335,335,390.500,287.250,2,366
54,0,263,263,263,390.750,291.750,2,365
55,0,425,425,425,387.500,294.500,2,363
56,0,658,658,658,388.750,297.000,2,362
57,0,565,565,565,389.000,296.500,2,361
58,0,729,729,729,389.000,296.500,2,360
59,0,486,486,486,387.500,293.000,2,359
60,0,516,516,516,387.500,292.750,2,358
61,0,496,496,496,387.250,292.000,2,357
62,0,546,546,546,387.000,292.000,2,356
63,0,516,516,516,387.000,292.000,2,355
64,0,611,611,611,388.250,294.500,2,354
65,0,517,517,517,389.750,295.000,2,353
66,0,630,630,630,389.750,293.750,2,352
67,0,629,629,629,390.250,293.750,2,351
68,0,585,585,585,391.000,293.000,2,350
69,0,699,699,699,392.250,292.000,2,349
70,0,669,669,669,392.750,292.000,2,348
71,0,650,650,650,394.250,291.250,2,347
72,0,734,734,734,393.000,290.750,2,346
73,0,698,698,698,392.750,289.750,2,345
74,0,767,767,767,393.750,288.250,2,344
75,0,755,755,755,394.250,287.750,2,343
76,0,731,731,731,396.000,287.750,2,342
77,0,702,702,702,397.500,288.750,2,341
78,0,705,705,705,398.250,289.000,2,340
79,0,465,465,465,397.250,291.500,2,339
80,0,423,423,423,395.250,295.000,2,338
81,0,451,451,451,396.250,294.750,2,337
82,0,461,461,461,398.250,294.500,2,336
83,0,398,398,398,399.000,294.750,2,335
84,0,479,479,479,397.500,293.750,2,334
85,0,461,461,461,393.000,295.000,2,333
86,0,454,454,454,393.750,298.750,2,332
87,0,445,445,445,392.250,299.000,2,331
88,0,437,437,437,390.750,300.500,2,330
89,0,454,454,454,389.750,299.250,2,329
90,0,435,435,435,389.750,301.750,2,328
91,0,463,463,463,390.750,302.750,2,327
92,0,453,453,453,390.250,301.750,2,326
93,0,469,469,469,388.250,298.000,2,325
94,0,456,456,456,384.750,296.250,2,324
95,0,381,381,381,382.250,294.750,2,323
96,0,414,414,414,377.750,298.000,2,322
97,0,498,498,498,376.500,298.750,2,321
98,0,478,478,478,376.500,296.750,2,320
99,0,442,442,442,377.750,296.500,2,319
100,0,390,390,390,378.750,297.750,2,318
101,0,427,427,427,376.500,296.000,2,317
102,0,400,400,400,377.000,293.000,2,316
103,0,433,433,433,381.000,289.750,2,315
104,0,359,359,359,379.750,288.750,2,314
105,0,428,428,428,381.250,287.500,2,313
106,0,389,389,389,383.500,285.500,2,312
107,0,381,381,381,380.500,282.750,2,311
108,0,367,367,367,382.500,282.750,2,310
109,0,275,275,275,380.000,283.500,2,309
110,0,302,302,302,381.000,284.250,2,308
111,0,357,357,357,385.500,282.250,2,307
112,0,268,268,268,384.250,282.500,2,306
113,0,310,310,310,381.750,281.250,2,305
114,0,297,297,297,381.750,281.750,2,304
115,0,270,270,270,380.250,282.000,2,303
116,0,312,312,312,380.500,283.000,2,302
117,0,280,280,280,380.250,284.750,2,301
118,0,268,268,268,377.000,283.750,2,300
119,0,406,406,406,377.000,283.750,2,299
120,0,499,499,499,379.250,283.750,2,298
121,0,365,365,365,379.500,282.250,2,297
122,0,369,369,369,386.000,281.250,2,296
123,0,283,283,283,378.000,278.000,2,294
124,0,272,272,272,377.500,280.500,2,293
125,0,371,371,371,376.500,280.750,2,292
126,0,416,416,416,376.500,279.750,2,291
127,0,297,297,297,372.250,278.750,2,290
128,0,339,339,339,366.250,279.000,2,289
129,0,389,389,389,366.500,279.000,2,288
130,0,364,364,364,364.750,276.500,2,287
131,0,316,316,316,362.750,276.750,2,286
132,0,436,436,436,359.500,276.250,2,285
133,0,375,375,375,359.750,272.000,2,284
134,0,403,403,403,360.750,273.000,2,283
135,0,336,336,336,360.250,270.000,2,282
136,0,372,372,372,358.750,268.000,2,281
137,0,292,292,292,352.500,265.500,2,280
138,0,391,391,391,347.750,266.250,2,279
139,0,455,455,455,348.500,273.000,2,278
140,0,406,406,406,351.250,276.750,2,277
141,0,413,413,413,351.250,276.750,2,276
142,0,406,406,406,349.500,277.500,2,275
143,0,526,526,526,350.000,279.000,2,274
144,0,411,411,411,349.500,281.000,2,273
145,0,357,357,357,354.750,277.750,2,272
146,0,347,347,347,358.250,278.500,2,271
147,0,357,357,357,359.750,276.500,2,270
148,0,290,290,290,360.250,278.500,2,269
149,0,305,305,305,359.750,277.000,2,268
150,0,314,314,314,361.000,278.500,2,267
151,0,395,395,395,362.750,279.750,2,266
152,0,414,414,414,363.250,280.750,2,265
153,0,354,354,354,365.000,280.000,2,264
154,0,281,281,281,365.000,276.250,2,263
155,0,319,319,319,366.500,276.500,2,262
156,0,326,326,326,367.000,276.250,2,261
157,0,379,379,379,367.250,274.000,2,260
158,0,387,387,387,367.000,270.000,2,259
159,0,405,405,405,371.750,267.500,2,258
160,0,525,525,525,373.000,266.500,2,257
161,0,557,557,557,376.000,266.750,2,256
162,0,299,299,299,376.250,271.750,2,255
163,0,451,451,451,375.000,269.750,2,254
164,0,533,533,533,374.500,268.500,2,253
165,0,555,555,555,376.000,268.250,2,252
166,0,495,495,495,376.000,267.000,2,251
167,0,543,543,543,377.000,264.000,2,250
168,0,437,437,437,377.500,265.750,2,249
169,0,451,451,451,375.750,269.000,2,248
170,0,445,445,445,372.500,270.000,2,247
171,0,393,393,393,365.000,269.750,2,246
172,0,384,384,384,348.000,255.500,2,243
173,0,423,423,423,350.750,258.750,2,242
174,0,458,458,458,350.250,255.750,2,241
175,0,496,496,496,352.750,255.000,2,240
