 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,338,338,338,400.250,229.250,3,400
2,0,348,348,348,401.500,230.250,3,401
3,0,353,353,353,401.500,231.750,3,402
4,0,364,364,364,401.500,231.500,3,403
5,0,271,271,271,402.250,232.000,3,404
6,0,320,320,320,402.000,233.000,3,405
7,0,292,292,292,402.000,234.250,3,406
8,0,321,321,321,402.000,234.750,3,407
9,0,307,307,307,402.000,234.000,3,408
10,0,274,274,274,402.250,232.750,3,409
11,0,231,231,231,402.250,230.500,3,410
12,0,185,185,185,404.500,230.250,3,411
13,0,303,303,303,404.750,230.500,3,412
14,0,251,251,251,405.000,230.500,3,413
15,0,250,250,250,406.000,229.250,3,414
16,0,258,258,258,405.750,225.750,3,415
17,0,149,149,149,403.250,226.750,3,416
18,0,239,239,239,405.000,225.000,3,417
19,0,230,230,230,405.250,225.000,3,418
20,0,195,195,195,405.250,225.000,3,419
21,0,257,257,257,405.500,225.000,3,420
22,0,245,245,245,404.750,225.750,3,421
23,0,335,335,335,397.500,230.000,3,399
24,0,328,328,328,397.000,230.250,3,398
25,0,341,341,341,395.750,230.500,3,397
26,0,405,405,405,394.250,229.750,3,396
27,0,392,392,392,395.750,230.000,3,395
28,0,340,340,340,401.000,231.000,3,394
29,0,380,380,380,403.250,232.000,3,393
30,0,363,363,363,402.500,234.500,3,392
31,0,337,337,337,402.750,237.250,3,391
32,0,418,418,418,402.750,237.250,3,390
33,0,402,402,402,402.750,237.250,3,389
34,0,386,386,386,400.500,237.750,3,388
35,0,372,372,372,397.250,237.250,3,387
36,0,396,396,396,395.000,236.250,3,386
37,0,431,431,431,396.750,239.000,3,385
38,0,394,394,394,396.000,237.500,3,384
39,0,371,371,371,399.000,240.250,3,383
40,0,396,396,396,401.500,241.750,3,382
41,0,429,429,429,402.000,241.750,3,381
42,0,398,398,398,404.750,243.500,3,380
43,0,388,388,388,404.750,245.250,3,379
44,0,433,433,433,403.500,243.750,3,378
45,0,368,368,368,400.000,242.750,3,377
46,0,358,358,358,395.250,243.000,3,376
47,0,375,375,375,391.000,244.000,3,375
48,0,396,396,396,389.000,245.750,3,374
49,0,533,533,533,389.750,245.750,3,373
50,0,571,571,571,392.000,243.750,3,372
51,0,472,472,472,404.750,247.750,3,371
52,0,456,456,456,403.750,248.000,3,370
53,0,490,490,490,403.750,248.000,3,369
54,0,547,547,547,403.750,247.500,3,368
55,0,533,533,533,403.500,247.500,3,367
56,0,548,548,548,402.000,246.250,3,366
57,0,627,627,627,402.000,246.250,3,365
58,0,585,585,585,403.000,247.000,3,364
59,0,484,484,484,401.750,249.000,3,363
60,0,457,457,457,401.750,248.750,3,362
61,0,489,489,489,401.000,252.000,3,361
62,0,537,537,537,401.000,253.500,3,360
63,0,539,539,539,401.000,254.000,3,359
64,0,478,478,478,401.750,251.000,3,358
65,0,517,517,517,401.750,251.000,3,357
66,0,521,521,521,402.000,248.500,3,356
67,0,577,577,577,403.250,244.500,3,355
68,0,568,568,568,403.500,244.250,3,354
69,0,569,569,569,402.750,244.000,3,353
70,0,613,613,613,401.000,244.750,3,352
71,0,523,523,523,402.000,246.000,3,351
72,0,532,532,532,402.250,247.750,3,350
73,0,568,568,568,406.250,251.250,3,349
74,0,573,573,573,404.750,247.500,3,348
75,0,533,533,533,403.500,249.500,3,347
76,0,633,633,633,406.000,252.000,3,346
77,0,493,493,493,408.000,252.500,3,345
78,0,567,567,567,407.750,252.500,3,344
79,0,572,572,572,407.750,252.500,3,343
80,0,548,548,548,406.000,253.000,3,342
81,0,562,562,562,406.500,253.000,3,341
82,0,605,605,605,406.000,254.500,3,340
83,0,622,622,622,399.250,249.750,3,339
84,0,622,622,622,401.500,249.750,3,338
85,0,540,540,540,401.500,252.000,3,337
86,0,507,507,507,401.500,252.750,3,336
87,0,564,564,564,399.250,254.250,3,335
88,0,546,546,546,399.250,254.000,3,334
89,0,544,544,544,398.500,255.750,3,333
90,0,517,517,517,399.750,259.750,3,332
91,0,558,558,558,398.500,264.750,3,331
92,0,588,588,588,397.000,265.750,3,330
93,0,556,556,556,397.000,265.750,3,329
94,0,555,555,555,398.000,265.000,3,328
95,0,521,521,521,399.750,260.500,3,327
96,0,509,509,509,399.250,262.000,3,326
97,0,477,477,477,398.000,260.500,3,325
98,0,519,519,519,398.750,258.500,3,324
99,0,515,515,515,398.750,258.500,3,323
100,0,596,596,596,399.250,255.750,3,322
101,0,540,540,540,400.000,254.000,3,321
102,0,516,516,516,400.000,252.250,3,320
103,0,488,488,488,399.750,248.500,3,319
104,0,509,509,509,399.750,248.500,3,318
105,0,516,516,516,399.250,248.000,3,317
106,0,441,441,441,399.250,248.000,3,316
107,0,458,458,458,397.500,247.500,3,315
108,0,475,475,475,396.000,244.500,3,314
109,0,501,501,501,396.750,240.500,3,313
110,0,525,525,525,396.750,240.500,3,312
111,0,460,460,460,399.000,235.250,3,311
112,0,518,518,518,399.000,235.250,3,310
113,0,500,500,500,398.750,239.000,3,309
114,0,539,539,539,398.750,241.000,3,308
115,0,536,536,536,399.500,241.750,3,307
116,0,604,604,604,400.750,239.500,3,306
117,0,646,646,646,400.750,239.500,3,305
118,0,595,595,595,400.750,239.500,3,304
119,0,640,640,640,401.750,239.500,3,303
120,0,667,667,667,402.250,237.250,3,302
121,0,616,616,616,401.000,239.000,3,301
122,0,638,638,638,400.750,237.000,3,300
123,0,625,625,625,400.500,234.500,3,299
