 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,353,353,353,372.667,316.000,3,400
2,0,364,364,364,373.000,318.333,3,401
3,0,401,401,401,372.333,319.333,3,402
4,0,376,376,376,370.000,320.667,3,403
5,0,412,412,412,374.333,322.667,3,404
6,0,363,363,363,378.333,325.333,3,405
7,0,347,347,347,378.333,325.000,3,406
8,0,406,406,406,378.667,326.000,3,407
9,0,386,386,386,380.333,325.667,3,408
10,0,337,337,337,381.000,325.667,3,409
11,0,333,333,333,380.667,327.333,3,410
12,0,272,272,272,380.333,329.667,3,411
13,0,277,277,277,376.667,333.667,3,412
14,0,275,275,275,375.333,334.667,3,413
15,0,311,311,311,378.000,338.000,3,414
16,0,305,305,305,378.000,336.333,3,415
17,0,304,304,304,377.667,336.000,3,416
18,0,269,269,269,379.667,335.000,3,417
19,0,292,292,292,375.667,335.667,3,418
20,0,230,230,230,375.667,334.333,3,419
21,0,242,242,242,374.000,334.000,3,420
22,0,197,197,197,375.000,330.000,3,421
23,0,404,404,404,372.000,316.333,3,399
24,0,413,413,413,374.333,317.667,3,398
25,0,428,428,428,374.667,321.667,3,397
26,0,412,412,412,373.667,325.000,3,396
27,0,429,429,429,371.333,324.667,3,395
28,0,420,420,420,370.667,324.667,3,394
29,0,454,454,454,370.333,326.333,3,393
30,0,423,423,423,370.333,326.000,3,392
31,0,386,386,386,370.667,323.667,3,391
32,0,409,409,409,370.333,323.667,3,390
33,0,442,442,442,368.667,322.000,3,389
34,0,379,379,379,368.333,320.000,3,388
35,0,408,408,408,370.000,318.333,3,387
36,0,429,429,429,369.667,317.667,3,386
37,0,396,396,396,370.667,320.333,3,385
38,0,461,461,461,368.333,324.000,3,384
39,0,437,437,437,367.667,323.667,3,383
40,0,402,402,402,366.667,323.000,3,382
41,0,416,416,416,366.333,325.000,3,381
42,0,414,414,414,366.333,327.667,3,380
43,0,417,417,417,366.333,327.667,3,379
44,0,410,410,410,368.333,326.333,3,378
45,0,374,374,374,369.667,325.000,3,377
46,0,381,381,381,368.667,324.333,3,376
47,0,432,432,432,363.667,324.000,3,375
48,0,386,386,386,361.333,338.000,3,372
49,0,400,400,400,361.000,341.333,3,371
50,0,435,435,435,361.000,341.333,3,370
51,0,439,439,439,361.000,341.333,3,369
