 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,550,550,550,425.500,347.250,3,400
2,0,609,609,609,425.500,347.750,3,401
3,0,547,547,547,426.000,349.000,3,402
4,0,544,544,544,426.000,348.250,3,403
5,0,562,562,562,426.250,348.250,3,404
6,0,523,523,523,427.000,347.500,3,405
7,0,561,561,561,426.750,348.250,3,406
8,0,485,485,485,430.000,348.500,3,407
9,0,528,528,528,431.000,346.750,3,408
10,0,509,509,509,430.750,347.500,3,409
11,0,437,437,437,429.750,348.750,3,410
12,0,402,402,402,430.500,347.250,3,411
13,0,460,460,460,431.500,347.000,3,412
14,0,385,385,385,431.750,346.500,3,413
15,0,413,413,413,434.250,346.250,3,414
16,0,466,466,466,434.250,348.000,3,415
17,0,455,455,455,435.500,348.500,3,416
18,0,540,540,540,435.000,347.000,3,417
19,0,541,541,541,426.250,347.000,3,399
20,0,541,541,541,426.250,347.000,3,398
21,0,608,608,608,425.750,348.000,3,397
22,0,611,611,611,424.750,346.750,3,396
23,0,641,641,641,424.000,347.000,3,395
24,0,547,547,547,424.000,344.500,3,394
25,0,556,556,556,422.500,343.750,3,393
26,0,545,545,545,421.000,347.000,3,392
27,0,555,555,555,421.750,347.250,3,391
28,0,558,558,558,421.250,348.000,3,390
29,0,512,512,512,419.750,348.250,3,389
30,0,583,583,583,418.500,350.750,3,388
31,0,462,462,462,419.250,353.500,3,387
32,0,487,487,487,422.250,352.750,3,386
33,0,460,460,460,425.750,351.500,3,385
