 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,502,502,502,296.000,279.000,3,400
2,0,475,475,475,294.667,280.667,3,401
3,0,383,383,383,291.000,283.333,3,402
4,0,364,364,364,290.000,286.000,3,403
5,0,435,435,435,288.667,284.000,3,404
6,0,403,403,403,288.667,283.000,3,405
7,0,371,371,371,290.333,283.667,3,406
8,0,402,402,402,289.333,286.333,3,407
9,0,460,460,460,287.333,289.667,3,408
10,0,411,411,411,287.333,292.000,3,409
11,0,399,399,399,289.000,294.000,3,410
12,0,354,354,354,291.333,294.667,3,411
13,0,360,360,360,289.333,295.000,3,412
14,0,308,308,308,288.000,294.000,3,413
15,0,253,253,253,286.333,293.667,3,414
16,0,292,292,292,286.333,293.667,3,415
17,0,297,297,297,283.333,292.667,3,416
18,0,315,315,315,283.333,292.667,3,417
19,0,315,315,315,281.333,293.333,3,418
20,0,357,357,357,279.000,290.667,3,419
21,0,341,341,341,280.333,288.667,3,420
22,0,480,480,480,294.667,279.667,3,399
23,0,444,444,444,295.000,281.000,3,398
24,0,432,432,432,295.000,281.000,3,397
25,0,537,537,537,293.000,281.000,3,396
26,0,541,541,541,291.333,281.333,3,395
27,0,504,504,504,290.000,283.000,3,394
28,0,512,512,512,288.333,283.000,3,393
29,0,559,559,559,288.000,285.333,3,392
30,0,528,528,528,288.333,285.333,3,391
31,0,575,575,575,290.333,286.667,3,390
32,0,495,495,495,292.333,287.333,3,389
33,0,520,520,520,294.667,288.000,3,388
34,0,464,464,464,296.667,287.333,3,387
35,0,523,523,523,295.333,288.000,3,386
36,0,472,472,472,291.000,286.667,3,385
37,0,560,560,560,291.000,286.333,3,384
38,0,548,548,548,292.667,285.333,3,383
39,0,528,528,528,293.667,285.333,3,382
40,0,500,500,500,295.667,285.667,3,381
41,0,516,516,516,295.667,285.667,3,380
42,0,509,509,509,297.000,287.000,3,379
43,0,474,474,474,299.000,287.000,3,378
44,0,471,471,471,299.000,288.667,3,377
45,0,548,548,548,299.000,290.333,3,376
46,0,392,392,392,294.667,290.333,3,375
47,0,419,419,419,293.000,289.000,3,374
48,0,445,445,445,293.667,287.333,3,373
49,0,442,442,442,294.333,287.000,3,372
50,0,459,459,459,298.333,285.667,3,371
51,0,439,439,439,299.667,285.667,3,370
52,0,430,430,430,300.333,285.000,3,369
53,0,433,433,433,300.333,296.000,3,365
54,0,456,456,456,300.333,293.333,3,364
55,0,480,480,480,300.667,292.667,3,363
56,0,475,475,475,298.000,294.333,3,362
57,0,510,510,510,300.000,293.000,3,361
58,0,545,545,545,299.333,291.000,3,360
59,0,508,508,508,300.667,289.667,3,359
60,0,552,552,552,300.000,291.000,3,358
61,0,491,491,491,300.000,291.000,3,357
62,0,522,522,522,301.000,294.000,3,356
63,0,512,512,512,302.667,296.000,3,355
64,0,564,564,564,302.667,296.000,3,354
65,0,567,567,567,304.000,297.667,3,353
66,0,575,575,575,304.000,297.667,3,352
67,0,553,553,553,304.333,297.667,3,351
68,0,626,626,626,305.333,295.000,3,350
69,0,612,612,612,305.333,294.667,3,349
70,0,620,620,620,306.333,294.000,3,348
71,0,518,518,518,306.333,297.333,3,347
72,0,566,566,566,306.000,299.333,3,346
73,0,551,551,551,304.333,299.667,3,345
74,0,571,571,571,305.000,301.667,3,344
75,0,547,547,547,306.333,302.000,3,343
