 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,570,570,570,317.250,307.750,2,400
2,0,583,583,583,316.250,310.000,2,401
3,0,612,612,612,313.250,312.250,2,402
4,0,612,612,612,312.750,307.000,2,403
5,0,502,502,502,317.250,302.250,2,404
6,0,574,574,574,318.500,300.500,2,405
7,0,650,650,650,321.250,301.500,2,406
8,0,615,615,615,320.750,303.250,2,407
9,0,501,501,501,319.250,305.750,2,408
10,0,559,559,559,320.000,309.750,2,409
11,0,560,560,560,319.750,311.250,2,410
12,0,546,546,546,319.750,310.000,2,411
13,0,457,457,457,318.250,312.500,2,412
14,0,480,480,480,317.750,312.500,2,413
15,0,386,386,386,318.250,312.750,2,414
16,0,402,402,402,318.500,313.250,2,415
17,0,484,484,484,316.750,313.250,2,416
18,0,431,431,431,316.500,314.750,2,417
19,0,421,421,421,316.500,314.750,2,418
20,0,612,612,612,318.250,305.500,2,399
21,0,588,588,588,319.250,303.750,2,398
22,0,580,580,580,318.000,302.500,2,397
23,0,569,569,569,315.000,303.750,2,396
24,0,622,622,622,315.000,305.250,2,395
25,0,732,732,732,313.500,304.250,2,394
26,0,679,679,679,313.500,306.000,2,393
27,0,681,681,681,312.000,304.500,2,392
28,0,608,608,608,310.250,306.750,2,391
29,0,762,762,762,309.000,308.500,2,390
30,0,736,736,736,308.500,309.000,2,389
31,0,700,700,700,309.000,308.500,2,388
32,0,607,607,607,310.500,305.750,2,387
33,0,677,677,677,310.500,304.500,2,386
34,0,693,693,693,310.000,305.500,2,385
35,0,638,638,638,308.500,304.250,2,384
36,0,748,748,748,306.500,305.750,2,383
37,0,611,611,611,306.500,307.000,2,382
38,0,674,674,674,308.000,304.000,2,381
39,0,588,588,588,306.000,302.500,2,380
40,0,670,670,670,307.000,302.750,2,379
41,0,716,716,716,307.250,304.500,2,378
42,0,519,519,519,308.000,306.250,2,377
43,0,640,640,640,308.500,311.000,2,376
44,0,684,684,684,309.250,310.500,2,375
45,0,611,611,611,308.000,304.750,2,374
46,0,482,482,482,306.750,302.250,2,373
47,0,528,528,528,304.500,303.750,2,372
48,0,542,542,542,306.750,304.250,2,371
49,0,575,575,575,307.500,305.500,2,370
50,0,615,615,615,309.250,308.000,2,369
51,0,658,658,658,309.000,308.000,2,368
52,0,443,443,443,307.000,309.750,2,367
