 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,433,433,433,382.000,351.000,3,400
2,0,545,545,545,383.500,353.500,3,401
3,0,507,507,507,388.750,356.500,3,402
4,0,476,476,476,394.750,355.000,3,403
5,0,492,492,492,393.500,354.250,3,404
6,0,506,506,506,393.500,354.250,3,405
7,0,529,529,529,395.000,356.500,3,406
8,0,524,524,524,393.500,359.500,3,407
9,0,592,592,592,393.250,357.000,3,408
10,0,637,637,637,394.750,357.000,3,409
11,0,576,576,576,395.250,358.000,3,410
12,0,559,559,559,395.000,359.000,3,411
13,0,592,592,592,395.000,359.000,3,412
14,0,461,461,461,395.000,359.000,3,413
15,0,591,591,591,394.250,356.500,3,414
16,0,512,512,512,393.500,358.500,3,415
17,0,595,595,595,392.500,356.750,3,416
18,0,520,520,520,393.250,357.500,3,417
19,0,519,519,519,394.500,360.000,3,418
20,0,551,551,551,396.250,356.500,3,419
21,0,451,451,451,383.750,350.750,3,399
22,0,452,452,452,386.250,347.500,3,398
23,0,541,541,541,386.250,348.000,3,397
24,0,656,656,656,387.000,348.750,3,396
25,0,580,580,580,384.250,350.500,3,395
26,0,600,600,600,385.500,349.500,3,394
27,0,583,583,583,384.250,348.500,3,393
28,0,599,599,599,381.750,347.000,3,392
29,0,551,551,551,381.750,347.000,3,391
30,0,574,574,574,381.750,347.000,3,390
31,0,598,598,598,381.250,345.000,3,389
32,0,550,550,550,377.500,343.000,3,388
33,0,519,519,519,376.750,342.500,3,387
34,0,561,561,561,376.750,339.250,3,386
35,0,517,517,517,378.250,340.750,3,385
36,0,546,546,546,379.500,343.000,3,384
37,0,661,661,661,378.750,345.000,3,383
38,0,647,647,647,378.750,345.000,3,382
39,0,607,607,607,378.000,346.250,3,381
40,0,543,543,543,378.000,346.250,3,380
41,0,567,567,567,374.000,342.000,3,379
42,0,594,594,594,375.500,340.750,3,378
43,0,552,552,552,374.500,340.500,3,377
44,0,522,522,522,375.000,339.250,3,376
45,0,576,576,576,376.750,340.000,3,375
46,0,573,573,573,379.500,344.500,3,374
47,0,620,620,620,380.000,345.250,3,373
48,0,599,599,599,380.000,345.250,3,372
49,0,537,537,537,379.500,347.250,3,371
50,0,497,497,497,377.750,347.750,3,370
