 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,529,529,529,417.250,347.500,3,401
2,0,481,481,481,418.000,349.250,3,402
3,0,551,551,551,418.250,349.250,3,403
4,0,549,549,549,419.750,350.000,3,404
5,0,620,620,620,419.000,352.250,3,405
6,0,570,570,570,418.500,349.750,3,400
7,0,516,516,516,419.250,350.750,3,399
8,0,527,527,527,419.500,350.500,3,398
9,0,546,546,546,417.250,349.000,3,397
10,0,515,515,515,415.250,350.000,3,396
11,0,560,560,560,414.000,352.500,3,395
12,0,524,524,524,415.750,353.000,3,394
13,0,551,551,551,412.500,348.000,3,391
14,0,459,459,459,409.500,346.750,3,392
15,0,625,625,625,413.750,349.000,3,390
16,0,539,539,539,411.500,350.000,3,389
17,0,607,607,607,411.250,350.000,3,388
18,0,589,589,589,411.500,350.500,3,387
19,0,568,568,568,411.000,351.750,3,386
20,0,571,571,571,411.000,354.250,3,385
21,0,586,586,586,410.750,354.250,3,384
22,0,666,666,666,407.500,354.000,3,383
23,0,662,662,662,408.250,353.750,3,382
24,0,663,663,663,407.500,354.750,3,381
25,0,642,642,642,410.000,355.500,3,380
26,0,691,691,691,405.750,355.500,3,379
27,0,672,672,672,403.250,353.000,3,378
28,0,670,670,670,402.750,352.250,3,377
29,0,660,660,660,401.250,352.000,3,376
30,0,595,595,595,399.500,352.250,3,375
31,0,567,567,567,399.000,351.250,3,374
32,0,551,551,551,398.000,352.500,3,373
33,0,602,602,602,398.000,354.250,3,372
34,0,572,572,572,399.500,353.000,3,371
35,0,503,503,503,397.500,355.750,3,370
36,0,563,563,563,398.250,356.500,3,369
37,0,595,595,595,398.250,356.250,3,368
38,0,620,620,620,397.500,355.750,3,367
39,0,469,469,469,397.750,353.250,3,366
40,0,540,540,540,398.750,353.750,3,365
