 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,350,350,350,411.000,237.750,3,400
2,0,349,349,349,412.750,238.250,3,401
3,0,332,332,332,413.750,237.250,3,402
4,0,323,323,323,411.500,240.250,3,403
5,0,317,317,317,411.250,240.750,3,404
6,0,336,336,336,411.000,239.750,3,405
7,0,303,303,303,410.000,239.250,3,406
8,0,308,308,308,412.750,237.750,3,407
9,0,335,335,335,415.750,235.250,3,408
10,0,336,336,336,415.250,233.750,3,409
11,0,248,248,248,416.500,234.500,3,410
12,0,322,322,322,415.000,237.250,3,411
13,0,299,299,299,416.750,237.500,3,412
14,0,295,295,295,417.000,237.750,3,413
15,0,257,257,257,419.000,236.750,3,414
16,0,313,313,313,420.750,236.000,3,415
17,0,276,276,276,420.500,235.250,3,416
18,0,273,273,273,418.250,235.500,3,417
19,0,304,304,304,419.500,236.750,3,418
20,0,265,265,265,420.250,237.250,3,419
21,0,232,232,232,418.750,239.500,3,420
22,0,240,240,240,416.000,241.500,3,421
23,0,198,198,198,415.000,242.000,3,422
24,0,224,224,224,414.250,241.250,3,423
25,0,257,257,257,410.750,240.750,3,424
26,0,243,243,243,407.750,239.000,3,425
27,0,201,201,201,409.750,237.500,3,426
28,0,229,229,229,409.500,238.250,3,427
29,0,219,219,219,410.750,240.500,3,428
30,0,212,212,212,409.500,239.750,3,429
31,0,189,189,189,410.750,241.500,3,430
32,0,357,357,357,407.000,239.000,3,399
33,0,335,335,335,404.250,239.250,3,398
34,0,307,307,307,406.000,237.750,3,397
35,0,324,324,324,407.500,237.250,3,396
36,0,330,330,330,405.750,237.000,3,395
37,0,317,317,317,403.500,238.250,3,394
38,0,292,292,292,401.000,241.750,3,393
39,0,319,319,319,399.250,248.250,3,392
40,0,313,313,313,400.250,253.000,3,391
41,0,314,314,314,401.000,256.500,3,390
42,0,329,329,329,402.250,257.750,3,389
43,0,358,358,358,403.750,254.000,3,388
44,0,218,218,218,404.500,250.250,3,387
45,0,327,327,327,411.250,240.500,3,385
46,0,361,361,361,411.750,238.750,3,384
47,0,340,340,340,411.000,239.750,3,383
48,0,360,360,360,411.250,239.250,3,382
49,0,395,395,395,413.250,238.500,3,381
50,0,373,373,373,412.750,236.750,3,380
51,0,351,351,351,412.500,236.750,3,379
52,0,391,391,391,411.750,236.750,3,378
53,0,379,379,379,414.750,235.750,3,377
54,0,402,402,402,414.750,235.750,3,376
55,0,410,410,410,416.000,236.250,3,375
56,0,364,364,364,416.000,236.250,3,374
57,0,416,416,416,416.000,236.250,3,373
58,0,392,392,392,419.000,234.500,3,372
59,0,413,413,413,418.500,236.000,3,371
60,0,407,407,407,420.000,233.500,3,370
61,0,447,447,447,425.000,233.000,3,369
62,0,412,412,412,427.750,231.750,3,368
63,0,363,363,363,429.750,233.000,3,367
64,0,425,425,425,424.750,231.750,3,366
65,0,463,463,463,422.250,232.750,3,365
66,0,515,515,515,421.000,232.750,3,364
67,0,483,483,483,420.750,233.250,3,363
68,0,530,530,530,420.750,233.250,3,362
69,0,543,543,543,419.750,234.000,3,361
70,0,501,501,501,418.250,236.000,3,360
71,0,509,509,509,416.750,240.250,3,359
72,0,522,522,522,418.250,242.250,3,358
73,0,490,490,490,418.500,242.500,3,357
74,0,604,604,604,420.750,239.750,3,356
75,0,529,529,529,420.500,241.250,3,355
76,0,550,550,550,419.500,238.750,3,354
77,0,586,586,586,419.500,238.750,3,353
78,0,509,509,509,420.250,240.500,3,352
79,0,569,569,569,420.500,239.750,3,351
80,0,527,527,527,419.500,240.750,3,350
81,0,540,540,540,419.500,240.500,3,349
82,0,557,557,557,419.750,243.750,3,348
83,0,580,580,580,418.750,245.750,3,347
84,0,514,514,514,417.500,245.000,3,346
85,0,527,527,527,417.500,243.500,3,345
86,0,504,504,504,417.250,243.500,3,344
87,0,502,502,502,415.250,245.500,3,343
88,0,552,552,552,415.000,244.750,3,342
89,0,422,422,422,415.500,244.250,3,341
90,0,399,399,399,413.000,244.000,3,340
91,0,353,353,353,412.500,243.000,3,339
