 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,331,331,331,359.333,316.000,3,400
2,0,343,343,343,357.667,317.000,3,401
3,0,330,330,330,355.000,320.000,3,402
4,0,362,362,362,352.000,320.000,3,403
5,0,319,319,319,352.000,321.000,3,404
6,0,289,289,289,354.667,322.000,3,405
7,0,366,366,366,358.333,321.000,3,406
8,0,339,339,339,362.000,321.000,3,407
9,0,335,335,335,362.333,321.667,3,408
10,0,316,316,316,363.333,322.000,3,409
11,0,354,354,354,363.333,322.667,3,410
12,0,276,276,276,360.667,324.667,3,411
13,0,319,319,319,360.333,331.667,3,412
14,0,310,310,310,362.333,334.667,3,413
15,0,324,324,324,362.667,336.333,3,414
16,0,268,268,268,364.000,334.333,3,415
17,0,252,252,252,364.000,334.333,3,416
18,0,297,297,297,364.667,332.333,3,417
19,0,226,226,226,363.333,331.000,3,418
20,0,402,402,402,360.000,315.333,3,399
21,0,356,356,356,359.000,318.000,3,398
22,0,369,369,369,359.000,320.333,3,397
23,0,380,380,380,359.000,320.333,3,396
24,0,332,332,332,356.667,323.333,3,395
25,0,314,314,314,355.000,324.333,3,394
26,0,306,306,306,355.000,324.333,3,393
27,0,315,315,315,354.667,324.667,3,392
28,0,316,316,316,354.667,324.667,3,391
29,0,382,382,382,354.667,324.667,3,390
30,0,356,356,356,354.667,324.667,3,389
31,0,341,341,341,352.333,324.000,3,388
32,0,346,346,346,351.667,324.000,3,387
33,0,380,380,380,349.333,322.667,3,386
34,0,389,389,389,351.667,322.333,3,385
35,0,344,344,344,354.000,322.667,3,384
36,0,410,410,410,357.000,321.000,3,383
37,0,399,399,399,355.000,322.333,3,382
38,0,401,401,401,355.000,324.667,3,381
39,0,405,405,405,351.667,327.333,3,380
40,0,343,343,343,350.000,328.667,3,379
41,0,385,385,385,347.667,330.667,3,378
42,0,422,422,422,347.667,332.667,3,377
43,0,403,403,403,347.667,333.667,3,376
44,0,425,425,425,346.333,335.000,3,375
45,0,433,433,433,343.000,337.667,3,374
46,0,480,480,480,344.000,339.333,3,373
47,0,423,423,423,345.333,338.667,3,372
