 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,481,481,481,343.750,424.250,3,400
2,0,427,427,427,343.750,424.000,3,401
3,0,484,484,484,341.500,423.250,3,402
4,0,473,473,473,341.500,423.250,3,403
5,0,477,477,477,342.750,423.250,3,404
6,0,468,468,468,344.750,422.250,3,405
7,0,480,480,480,341.750,425.500,3,406
8,0,459,459,459,341.750,425.250,3,407
9,0,453,453,453,342.750,425.500,3,408
10,0,505,505,505,342.250,427.000,3,409
11,0,471,471,471,339.250,426.750,3,410
12,0,413,413,413,341.000,424.750,3,411
13,0,430,430,430,341.000,424.750,3,412
14,0,405,405,405,339.000,424.500,3,413
15,0,376,376,376,340.750,428.250,3,414
16,0,380,380,380,338.000,433.250,3,415
17,0,320,320,320,340.750,429.750,3,416
18,0,351,351,351,343.000,426.500,3,417
19,0,371,371,371,343.000,426.500,3,418
20,0,483,483,483,344.500,425.500,3,399
21,0,475,475,475,344.750,424.500,3,398
22,0,539,539,539,347.250,427.000,3,397
23,0,483,483,483,346.500,425.250,3,396
24,0,429,429,429,346.250,425.250,3,395
25,0,464,464,464,346.250,425.750,3,394
26,0,521,521,521,346.750,428.250,3,393
27,0,513,513,513,342.750,431.750,3,392
28,0,476,476,476,343.750,430.250,3,391
29,0,491,491,491,346.250,430.250,3,390
30,0,415,415,415,345.000,431.000,3,389
31,0,473,473,473,345.000,431.000,3,388
32,0,455,455,455,345.000,431.000,3,387
33,0,405,405,405,345.250,430.750,3,386
34,0,455,455,455,346.250,428.750,3,385
35,0,511,511,511,346.250,428.750,3,384
36,0,527,527,527,346.250,428.750,3,383
37,0,502,502,502,346.250,428.750,3,382
38,0,475,475,475,347.000,426.500,3,381
39,0,484,484,484,347.000,426.500,3,380
40,0,510,510,510,347.000,426.500,3,379
41,0,528,528,528,346.250,428.750,3,378
42,0,552,552,552,344.750,426.250,3,377
43,0,655,655,655,345.250,428.250,3,376
44,0,563,563,563,346.750,424.500,3,375
45,0,577,577,577,346.750,426.000,3,374
46,0,597,597,597,348.500,424.500,3,373
47,0,539,539,539,347.500,427.750,3,372
48,0,594,594,594,348.250,430.250,3,371
49,0,476,476,476,348.250,430.250,3,370
50,0,505,505,505,346.750,429.250,3,369
51,0,558,558,558,346.000,427.750,3,368
52,0,568,568,568,347.250,430.000,3,367
53,0,596,596,596,347.250,427.250,3,366
54,0,524,524,524,346.500,426.750,3,365
55,0,594,594,594,347.000,425.750,3,364
56,0,585,585,585,348.500,425.250,3,363
57,0,573,573,573,348.500,423.500,3,362
58,0,617,617,617,346.000,424.000,3,361
59,0,581,581,581,346.000,424.000,3,360
60,0,652,652,652,345.750,424.000,3,359
61,0,657,657,657,346.250,423.000,3,358
62,0,607,607,607,349.750,423.500,3,357
63,0,570,570,570,351.250,423.250,3,356
64,0,555,555,555,351.250,421.500,3,355
