 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,374,374,374,411.250,252.500,3,400
2,0,360,360,360,412.000,254.000,3,401
3,0,311,311,311,411.500,254.750,3,402
4,0,317,317,317,412.750,255.750,3,403
5,0,344,344,344,416.500,257.500,3,404
6,0,333,333,333,416.500,257.500,3,405
7,0,360,360,360,411.250,253.250,3,406
8,0,369,369,369,412.250,250.500,3,407
9,0,319,319,319,414.250,249.000,3,408
10,0,297,297,297,415.500,247.000,3,409
11,0,335,335,335,413.750,249.000,3,410
12,0,280,280,280,414.750,253.750,3,411
13,0,295,295,295,408.000,246.000,3,413
14,0,308,308,308,406.750,242.250,3,414
15,0,314,314,314,406.750,239.250,3,415
16,0,330,330,330,404.250,240.250,3,416
17,0,285,285,285,404.000,240.500,3,417
18,0,346,346,346,406.750,240.000,3,418
19,0,334,334,334,406.250,239.750,3,419
20,0,311,311,311,406.250,239.500,3,420
21,0,357,357,357,404.750,239.500,3,421
22,0,341,341,341,403.500,242.500,3,422
23,0,357,357,357,403.750,242.500,3,423
24,0,327,327,327,400.750,244.250,3,424
25,0,380,380,380,399.750,244.250,3,425
26,0,308,308,308,400.250,243.750,3,426
27,0,321,321,321,399.500,244.250,3,427
28,0,292,292,292,399.750,243.750,3,428
29,0,297,297,297,399.750,243.750,3,429
30,0,312,312,312,399.750,243.500,3,430
31,0,319,319,319,397.750,243.250,3,431
32,0,367,367,367,410.250,250.750,3,399
33,0,396,396,396,410.250,252.500,3,398
34,0,423,423,423,408.750,249.750,3,397
35,0,383,383,383,409.000,250.000,3,396
36,0,390,390,390,408.000,250.250,3,395
37,0,429,429,429,408.000,250.250,3,394
38,0,410,410,410,408.000,250.250,3,393
39,0,379,379,379,409.250,251.250,3,392
40,0,410,410,410,411.000,251.000,3,391
41,0,400,400,400,412.750,254.750,3,390
42,0,358,358,358,415.750,257.000,3,389
43,0,418,418,418,417.500,257.500,3,388
44,0,402,402,402,417.250,257.250,3,387
45,0,399,399,399,414.250,255.000,3,386
46,0,394,394,394,410.500,253.500,3,385
47,0,418,418,418,410.750,255.750,3,384
48,0,422,422,422,410.750,256.750,3,383
49,0,417,417,417,410.750,256.750,3,382
50,0,492,492,492,409.250,257.750,3,381
51,0,464,464,464,409.250,257.750,3,380
52,0,480,480,480,409.750,257.750,3,379
53,0,458,458,458,409.750,257.000,3,378
54,0,441,441,441,410.250,259.500,3,377
55,0,417,417,417,411.500,261.500,3,376
56,0,436,436,436,411.750,261.500,3,375
57,0,378,378,378,408.500,261.750,3,374
58,0,468,468,468,407.250,260.750,3,373
59,0,387,387,387,409.500,260.750,3,372
60,0,468,468,468,414.250,265.750,3,371
61,0,546,546,546,414.250,267.000,3,370
62,0,521,521,521,412.750,268.750,3,369
63,0,544,544,544,412.000,269.000,3,368
64,0,422,422,422,411.250,268.500,3,367
65,0,392,392,392,411.500,265.750,3,366
66,0,485,485,485,407.250,258.750,3,365
67,0,475,475,475,408.750,256.000,3,364
68,0,418,418,418,409.000,256.000,3,363
69,0,410,410,410,408.250,256.000,3,362
70,0,412,412,412,410.250,257.750,3,361
71,0,558,558,558,415.500,262.500,3,360
