 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,369,369,369,326.250,313.500,2,400
2,0,323,323,323,325.250,313.000,2,401
3,0,319,319,319,323.250,310.500,2,402
4,0,414,414,414,322.500,313.250,2,403
5,0,394,394,394,321.500,312.000,2,404
6,0,363,363,363,320.750,314.000,2,405
7,0,331,331,331,322.500,318.500,2,406
8,0,205,205,205,326.250,319.500,2,407
9,0,286,286,286,328.000,319.750,2,408
10,0,282,282,282,327.750,320.750,2,409
11,0,258,258,258,327.750,320.750,2,410
12,0,210,210,210,330.000,319.750,2,411
13,0,225,225,225,332.000,319.250,2,412
14,0,191,191,191,331.000,319.250,2,413
15,0,187,187,187,332.250,318.000,2,414
16,0,159,159,159,331.750,319.500,2,415
17,0,176,176,176,333.250,321.750,2,416
18,0,144,144,144,335.000,322.000,2,417
19,0,157,157,157,335.000,322.000,2,418
20,0,184,184,184,332.250,321.750,2,419
21,0,325,325,325,326.250,313.000,2,399
22,0,421,421,421,323.750,311.500,2,398
23,0,388,388,388,323.750,311.500,2,397
24,0,436,436,436,323.750,311.500,2,396
25,0,344,344,344,323.000,311.500,2,395
26,0,336,336,336,323.000,311.500,2,394
27,0,409,409,409,323.000,311.500,2,393
28,0,305,305,305,321.750,308.500,2,392
29,0,382,382,382,321.750,308.500,2,391
30,0,400,400,400,320.750,311.750,2,390
31,0,415,415,415,320.500,313.000,2,389
32,0,394,394,394,321.000,314.000,2,388
33,0,371,371,371,321.500,315.750,2,387
34,0,344,344,344,321.500,315.500,2,386
35,0,490,490,490,320.500,314.750,2,385
36,0,543,543,543,319.000,314.000,2,384
37,0,554,554,554,314.500,313.500,2,383
38,0,531,531,531,314.000,316.000,2,382
39,0,455,455,455,314.250,317.250,2,381
40,0,461,461,461,314.250,317.250,2,380
41,0,500,500,500,313.000,314.750,2,379
42,0,370,370,370,313.000,316.750,2,378
43,0,461,461,461,315.500,316.500,2,377
44,0,467,467,467,316.250,318.750,2,376
45,0,495,495,495,317.000,318.000,2,375
46,0,453,453,453,318.250,315.250,2,374
47,0,557,557,557,318.750,312.750,2,373
48,0,465,465,465,317.250,312.250,2,372
49,0,622,622,622,317.250,311.000,2,371
50,0,433,433,433,315.750,323.500,2,367
51,0,444,444,444,316.250,323.250,2,366
52,0,437,437,437,315.250,326.250,2,365
53,0,578,578,578,314.500,326.250,2,364
54,0,514,514,514,317.000,326.250,2,363
55,0,589,589,589,316.250,326.500,2,362
56,0,559,559,559,316.250,326.500,2,361
57,0,522,522,522,314.500,326.500,2,360
58,0,660,660,660,315.250,329.000,2,359
59,0,683,683,683,315.250,329.000,2,358
60,0,645,645,645,317.250,330.000,2,357
61,0,753,753,753,319.500,329.500,2,356
62,0,667,667,667,319.250,328.750,2,355
63,0,602,602,602,319.250,328.750,2,354
64,0,501,501,501,316.750,330.000,2,353
65,0,602,602,602,317.000,330.750,2,352
66,0,507,507,507,316.000,330.000,2,351
67,0,431,431,431,315.500,330.000,2,350
68,0,503,503,503,315.500,330.000,2,349
69,0,574,574,574,317.750,326.500,2,348
70,0,567,567,567,318.000,326.500,2,347
71,0,586,586,586,319.500,325.500,2,346
72,0,505,505,505,319.500,325.500,2,345
73,0,515,515,515,318.750,329.750,2,344
74,0,430,430,430,319.500,329.500,2,343
75,0,376,376,376,320.500,334.750,2,342
76,0,393,393,393,320.000,331.750,2,341
77,0,439,439,439,320.250,331.750,2,340
78,0,513,513,513,321.000,332.500,2,339
79,0,499,499,499,321.750,333.500,2,338
80,0,412,412,412,324.000,330.000,2,337
81,0,461,461,461,323.500,329.250,2,336
82,0,430,430,430,322.250,328.500,2,335
83,0,425,425,425,322.250,327.500,2,334
84,0,436,436,436,322.000,328.250,2,333
85,0,419,419,419,322.750,327.000,2,332
86,0,447,447,447,321.500,326.750,2,331
87,0,427,427,427,322.000,327.250,2,330
88,0,463,463,463,322.250,326.500,2,329
89,0,431,431,431,324.000,326.250,2,328
90,0,433,433,433,324.000,326.250,2,327
91,0,453,453,453,324.000,330.750,2,326
92,0,356,356,356,324.500,332.250,2,325
93,0,367,367,367,325.250,333.000,2,324
94,0,429,429,429,326.500,332.500,2,323
95,0,399,399,399,324.500,334.250,2,322
96,0,327,327,327,321.750,336.500,2,321
97,0,313,313,313,321.000,336.500,2,320
98,0,368,368,368,320.750,335.500,2,319
99,0,317,317,317,319.750,335.500,2,318
100,0,336,336,336,318.000,335.750,2,317
101,0,288,288,288,319.000,333.000,2,316
102,0,339,339,339,321.000,328.000,2,315
103,0,305,305,305,322.750,319.750,2,313
104,0,376,376,376,322.750,319.750,2,312
105,0,428,428,428,325.000,318.500,2,311
106,0,391,391,391,325.000,318.250,2,310
107,0,405,405,405,326.000,320.000,2,309
108,0,435,435,435,325.250,321.750,2,308
109,0,448,448,448,325.500,320.500,2,307
110,0,539,539,539,329.250,317.000,2,306
111,0,379,379,379,330.750,317.000,2,305
112,0,453,453,453,331.250,314.500,2,304
113,0,485,485,485,332.500,314.000,2,303
114,0,383,383,383,333.500,311.250,2,302
115,0,342,342,342,333.750,311.250,2,301
116,0,356,356,356,333.750,311.250,2,300
117,0,327,327,327,331.500,310.500,2,299
118,0,441,441,441,333.000,310.750,2,298
119,0,383,383,383,333.250,311.000,2,297
120,0,458,458,458,333.250,310.500,2,296
121,0,461,461,461,333.250,310.500,2,295
122,0,318,318,318,333.000,308.750,2,294
123,0,329,329,329,333.750,306.250,2,293
124,0,312,312,312,333.500,307.750,2,292
125,0,327,327,327,333.000,308.500,2,291
126,0,369,369,369,333.000,309.500,2,290
127,0,374,374,374,331.500,309.750,2,289
128,0,408,408,408,331.500,309.750,2,288
129,0,445,445,445,331.250,309.750,2,287
130,0,494,494,494,330.250,309.750,2,286
131,0,459,459,459,329.250,310.000,2,285
132,0,416,416,416,329.750,308.500,2,284
133,0,423,423,423,330.250,306.000,2,283
134,0,376,376,376,331.750,304.250,2,282
135,0,398,398,398,331.750,304.250,2,281
136,0,324,324,324,333.000,304.500,2,280
