 ,Area,Mean,Min,Max,X,Y,Ch,Frame
1,0,303,303,303,376.000,332.000,3,400
2,0,339,339,339,375.000,335.000,3,401
3,0,343,343,343,375.000,338.667,3,402
4,0,324,324,324,374.333,341.000,3,403
5,0,293,293,293,374.333,329.333,3,399
6,0,386,386,386,375.333,333.000,3,398
7,0,406,406,406,375.333,336.667,3,397
8,0,400,400,400,375.000,338.333,3,396
9,0,367,367,367,375.000,338.333,3,395
10,0,390,390,390,375.667,336.667,3,394
11,0,350,350,350,377.333,334.333,3,393
12,0,370,370,370,375.333,335.000,3,392
13,0,319,319,319,375.000,334.667,3,391
14,0,313,313,313,373.667,334.333,3,390
15,0,240,240,240,373.333,332.000,3,389
16,0,314,314,314,373.333,330.333,3,388
17,0,362,362,362,372.333,329.000,3,387
18,0,332,332,332,370.667,327.333,3,386
19,0,300,300,300,367.000,331.000,3,385
20,0,344,344,344,366.667,334.000,3,384
21,0,281,281,281,366.667,335.333,3,383
22,0,357,357,357,366.667,335.667,3,382
23,0,325,325,325,366.667,337.667,3,381
24,0,416,416,416,367.000,338.333,3,380
25,0,365,365,365,364.667,337.333,3,379
26,0,367,367,367,364.000,335.000,3,378
27,0,362,362,362,364.667,333.333,3,377
28,0,380,380,380,365.667,334.000,3,376
29,0,365,365,365,368.667,337.000,3,375
30,0,403,403,403,370.333,345.000,3,374
31,0,459,459,459,368.667,349.333,3,373
32,0,415,415,415,369.333,351.667,3,372
33,0,431,431,431,366.667,350.667,3,371
34,0,394,394,394,366.667,350.667,3,370
35,0,360,360,360,366.667,350.667,3,369
36,0,360,360,360,365.667,351.667,3,368
37,0,397,397,397,365.667,351.667,3,367
38,0,357,357,357,365.667,351.667,3,366
39,0,405,405,405,368.000,357.000,3,365
40,0,450,450,450,368.667,354.000,3,364
41,0,448,448,448,366.000,350.333,3,363
42,0,379,379,379,360.333,346.667,3,362
43,0,401,401,401,362.000,341.333,3,361
44,0,457,457,457,365.333,339.333,3,360
45,0,384,384,384,370.000,329.000,3,359
46,0,380,380,380,373.667,329.667,3,358
47,0,449,449,449,373.667,329.667,3,357
48,0,542,542,542,373.000,327.000,3,356
49,0,489,489,489,373.000,327.000,3,355
50,0,577,577,577,373.000,327.000,3,354
51,0,526,526,526,374.667,329.000,3,353
52,0,568,568,568,374.667,326.333,3,352
53,0,505,505,505,373.000,326.333,3,351
54,0,475,475,475,373.000,326.333,3,350
55,0,547,547,547,365.333,328.667,3,349
56,0,571,571,571,365.333,328.000,3,348
57,0,572,572,572,364.333,327.333,3,347
58,0,570,570,570,366.000,325.000,3,346
59,0,560,560,560,367.000,324.000,3,345
60,0,569,569,569,368.667,322.000,3,344
61,0,575,575,575,370.000,322.000,3,343
62,0,516,516,516,370.667,324.000,3,342
63,0,675,675,675,368.667,327.667,3,341
64,0,605,605,605,367.667,328.333,3,340
65,0,573,573,573,367.667,328.000,3,339
66,0,574,574,574,366.667,329.667,3,338
67,0,615,615,615,367.333,330.667,3,337
68,0,597,597,597,370.000,329.667,3,336
69,0,570,570,570,372.333,327.333,3,335
70,0,459,459,459,368.667,331.000,3,334
71,0,540,540,540,368.667,332.667,3,333
72,0,481,481,481,368.333,332.000,3,332
73,0,498,498,498,368.333,332.000,3,331
74,0,393,393,393,370.000,330.000,3,330
75,0,395,395,395,372.000,330.000,3,329
76,0,476,476,476,374.333,331.333,3,328
77,0,408,408,408,370.000,333.333,3,327
78,0,438,438,438,369.667,335.667,3,326
79,0,358,358,358,368.000,333.667,3,325
80,0,473,473,473,367.333,332.667,3,324
81,0,413,413,413,366.333,330.000,3,323
82,0,393,393,393,365.000,330.000,3,322
83,0,476,476,476,362.000,329.667,3,321
84,0,427,427,427,364.333,331.333,3,320
85,0,439,439,439,367.333,328.667,3,319
86,0,401,401,401,363.333,324.333,3,318
87,0,402,402,402,367.000,322.333,3,317
88,0,459,459,459,368.000,318.333,3,316
89,0,461,461,461,366.333,319.667,3,315
90,0,480,480,480,365.000,319.667,3,314
91,0,489,489,489,367.667,322.000,3,313
92,0,425,425,425,369.000,323.000,3,312
